Length;Fraction;S;T;Time
10;0.0174094882;1;57;0.046875
30;0.000455171152761423221685761892;268626744282;589904330443529;0.203125
50;0.00000795431233411387427793198650286024865090061389;26291083772203695865;3305236178590132033090267;0.515625
70;0.0000000344606618496378829135984076361542097372601657541200146071777733;1388949855275438253643386718;40305373325546556129984713606842801;0.625000
90;0.000000000599818266038012509478351201640618984143988087783837107349651099683484992553337438;289115398416288206570209832691125752;482004991770475018395162675630950402666951747;1.093750
110;0.00000000000088068198972282890781586124258626539246182119762952003918195325258677229419698255491250839396799769;1423899809940873416987670996506830495757462;1616814953134069770671253617630240586970092252028591225;1.734375
130;0.0000000000000357665825441616335532825361862146291503649293440596342887581257444442930778730382520372975343211325351222640703400531;1681484182394804120201629115216189427246512433383081;47012715858961103257532540615670328415222007464165666311888064939;2.171875
150;0.000000000000000067500454956482168314849207060705673849265774579830223671554026061117300483012903885770893074783710083450145620356667677191627276513995;26179403289261874869809046567598511901763903796213727915741;387840397611243454703465656940189292131934190379704319304783536687205900221;2.609375
170;0.00000000000000000926532444279237315785832411595106453089134746365281031552217482363035280722591085079053410485925413958279617719034175332412908745680774313630190429314820;54969076859816202242775786088906979663636375274176940159149119231714;5932774097573822544983723494951913319852044937305363692834452491690264709312916212785;3.453125
190;0.0000000000000000000559328748143552689295945058801322270313370955837837939182801848609300876356583948397645861551964542532682663945625356614462682551015176002433628234343684739800880514363921;1692317339585183115582193070424465478815602951707816028430471052464611698474;30256219534613424649088858518958137533622148014852524302304190306464990319876476407875378342307;3.921875
210;0.000000000000000000000982340231989891351425389287014819359798014755509282450440511590838726938103384801541373585690893606978941566666714061214952341523168827712604946036245881214982452998386986623826275782780208;368629098688680378111134221992464180888484081383348615505203588805537513675131222306;375256033179015424338155502527062029159949135424615332942743628842917070980883516222847226845195780175953;5.125000
230;0.00000000000000000000000928205527678781609589000725521486468983551558405472149903035076783644195574734088152324666290493119955560594634905391288186024902215444250421277955403412298227858394469856607272647132163832860126054679347881;49578580615245963386862305641352660613721968325172588282691062956711883984690952633011221789;5341336496802604531388522809892941558738143890802910797706786007081366998323823190977359349574539204354505369340916;6.078125
250;0.0000000000000000000000000638761723785858733108109249157334220127702410373959720286708183036202841837581704881367895556630088230650972282944827258473951902831431040790814079538232104075905120989173307660289899942087873076421916033622143260549608274076;2405494028703678553289811556764773449609007196449323670322458140700238850299280178739849593562285599;37658706511821407531377767111248048238527835249162634515173029211900392427926344849519641590631709764712663208546905965105962;7.328125
270;0.000000000000000000000000000012938515668898707915863945382394851328164677964192631597026176253407553188801750590935427267220117591817866992665840378311257621611574856498432538327068011953631534031790352912617015229051836886166704989498756486878095690013558017746707412183;7067989945671994697168167382093741720440887780214109724164522696592223432528633412832202904770108019076451;546275177659046203874489095686886749566243635536714721672462054964333487382613871448550913084894570198835612204980344240282639354854654;8.312500
290;0.00000000000000000000000000000571476823027885971347137127534455141266330081381698013939365540506551896225052520672800683064370520756181856592652321228887400599530995111233972330484392490574766309080151039589625763859302515779417857884238413041772131315150512215538928427584094435841033406755;13351135113674464071647658583716257887961198804442162757203378465499593316457931624525860521347195229571798357895567;2336251371129180103896790429527243239936668662114816403852606502969316913109703494312469104620790044346006826313878037860821306248514428289460313;9.109375
310;0.0000000000000000000000000000000609835790487402354166452912499376587897716501326057449061190421970933313569598839513628819813343927217617306025607209543256088157579237279363810687651295615413850921335290485733030321108187289230282558124988271795034015342329492490449853230171988329332834020121076680588957322200;2249742180055045795905633690948150783261478856732515876784369349996919713197952476869349708781579211895615569560147673422278;36890950238538348110653325887945917358512788342636117342922614415865435690185796020753884556755636541516088160173569211413526282219174662160926233573780743;10.968750
330;0.000000000000000000000000000000000231687728795929130819202475810071693037304323102771307036319561510973081517179498001850892808514736168086571028355614938323373014878989791958969331414576346383427890140734945689899708456936200651619735006518272452258698355058150734156417040610552583278527297631598954952522308728375418296898163754;42360572205928177531682564214483468514850697110384648203104389331532234294563684427811250606314161420862988200680893233109375416663;182834768272252466204072581761998224734367649306713246529144631207825947053518514029092856164189379413594495526103340883467140970586828679953760426130019183135295250;12.203125
350;0.00000000000000000000000000000000000101228546773449183879711435291556790231987844435802949835043525777440411540286814764987386280980496828479407481822146693813645220103873314561219180477411981032503226336158219397213209274503297801147439967620962303519679275682463091876840379622730730736467401244634502016937915244134688703446718121231110891097745167;811335934017617358452836383068892148044548858923376029288896065512926159666990064720429927352710356066806566859789574199671238918067843481;801489263530966048637179698265402004761982153447156280119489039134194602821727409156213048887531376242605680217053677554493283143813188463034553662687267807056456444251356463;13.703125
370;0.0000000000000000000000000000000000000839313963752071706717548175217531000500786491480899799960638036942044369189118635091082268977893056397743583336104742715722703609896402903224774531334352169884145730277702008645015732791140331583051025104064895622217478600213924154066813310589389843996977252328338578813512086553953548503508435812602216501773835132194230148661387944;2337361561537374833752972481391636995034286361333647597513298104238529076216912693294011742940763534929454655485084579886425861682518448135892668963;27848477000054027113349366137774247493714034630639419102697151267773170347881775392482014751501207240057058856082225212802103846550924146871614200567647105403938032314520201296189909375;15.140625
390;0.000000000000000000000000000000000000000354427756690709867320153565468158533287696463210587003734620116534953437709154007123773339158880244336766148165968719167637127947182488162048594449945321743190738426987748783219374443513280903494439853812389851061818772823669651380761603104315895457446775268891980502960229267360521711532668158694662881687897905826971751644996155607507956853707523049;90717678606508518732265315821397399285549008338810536021621374714809933001066987936959313058453441398152724641201125540796155704282569754660432103036627061;255955344619560880582400657738952293173996673163408827858705869226360944123919846533698994685662429204665891348192788822291470846970045633958027492286686371471525794292644289142482896716662620176;16.312500
410;0.00000000000000000000000000000000000000000858009774475923223197304378088127491936207200535774433864459244242532340237207761756790857425658828527673356944596929561783726910045636467639147500558869815606047864034100436105686767894510286707746229656406962912647082410036179802989747753912961149869748258256193713206899391134824914394952167251807574291844812846731585426646140466758115119076344572656296532163490565;43596861756417681307809090497544796150937913315477645233896340547665893239607194897748873134486610417248932962231724586317569944994937524597210684990893567322040389;5081161433510109878723761434195547225848803883234894890156538195314680688268817064503148093621749077973413263593564474129415416051889304018741374081196984782366551668242984186310992831809065862396570671837;18.968750
