Length;Fraction;S;T;Time
1;0.1;1;10;0.000000
2;0.74;3;4;0.000000
3;0.094;1;14;0.000000
4;0.8824;55;62;0.015625
5;0.55171;5;9;0.000000
6;0.152761;66;433;0.000000
7;0.4232216;103;243;0.015625
8;0.85761892;5583;6509;0.015625
9;0.795431233;17261;21698;0.015625
10;0.0411387427;2789;67814;0.000000
11;0.07931986502;12443;156876;0.015625
12;0.086024865090;27589;320710;0.015625
13;0.0061389344606;2433;396332;0.031250
14;0.06184963788291;40228;650417;0.015625
15;0.035984076361542;108943;3027537;0.031250
16;0.0097372601657541;351748;36124023;0.031250
17;0.02001460717777335;1767353;88303176;0.046875
18;0.099818266038012509;18363062;183964951;0.031250
19;0.0478351201640618984;10754155;224817142;0.031250
20;0.00143988087783837107;93670;65053997;0.031250
21;0.003496510996834849925;77188257;22075794359;0.031250
22;0.0053337438088068198972;163840396;30717710149;0.046875
23;0.00282890781586124258626;344395517;121741513019;0.078125
24;0.005392461821197629520039;69412757;12872183301;0.046875
25;0.0018195325258677229419698;2079069661;1142639459688;0.078125
26;0.00255491250839396799769357;8393113563;3285088446614;0.062500
27;0.006658254416163355328253618;49781973615;7476730461713;0.078125
28;0.0062146291503649293440596342;1738912570;279809547429;0.062500
29;0.00887581257444442930778730382;143930050231;16215985750467;0.062500
30;0.000520372975343211325351222640;360591591634;692948344207943;0.078125
31;0.0007034005310675004549564821683;117211092070;166634921205131;0.093750
32;0.00014849207060705673849265774579;919701330251;6193605668581154;0.093750
33;0.000830223671554026061117300483012;8423935111567;10146585071224603;0.078125
34;0.0009038857708930747837100834501456;54852426779943;60685131402994663;0.078125
35;0.00020356667677191627276513995926532;16599228415824;81541972777905827;0.093750
36;0.000444279237315785832411595106453089;83176823332718;187217444225505757;0.109375
37;0.0001347463652810315522174823630352807;183792105043638;1363985623362200261;0.140625
38;0.00022591085079053410485925413958279617;417204194824166;1846764745315400093;0.156250
39;0.000719034175332412908745680774313630190;8437967471515537;11735141055867928738;0.125000
40;0.0000429314820559328748143552689295945058;2942192583936939;68532285470688675331;0.187500
41;0.00008013222703133709558378379391828018486;2322708341640875;28985945201954011918;0.171875
42;0.000009300876356583948397645861551964542532;843045690446741;90641532918557933405;0.109375
43;0.0000682663945625356614462682551015176002433;15918178127257801;233177366832752537024;0.140625
44;0.00006282343436847398008805143639219823402319;123239609841769560;1961682150627753501511;0.156250
45;0.000089891351425389287014819359798014755509282;146616086873800601;1631036629764025818565;0.171875
46;0.0000450440511590838726938103384801541373585690;1737737822834765529;38578630876195560810352;0.203125
47;0.00008936069789415666667140612149523415231688277;18118617922906251579;202758241037540459570390;0.187500
48;0.000012604946036245881214982452998386986623826275;7027897709276976927;557550797049670578994918;0.250000
49;0.0000782780208928205527678781609589000725521486468;21874336577330059891;279444169996080145710583;0.296875
50;0.00000983551558405472149903035076783644195574734088;68773631441469791945;6992376846310445396877059;0.203125
51;0.000001523246662904931199555605946349053912881860249;5295469453833989707;3476435946188244039125318;0.218750
52;0.0000002215444250421277955403412298227858394469856607;11316638776658774165;51080675013631500464199311;0.218750
53;0.00000272647132163832860126054679347881638761723785858;21202263859631873791;7776448514738638722629820;0.296875
54;0.000007331081092491573342201277024103739597202867081830;410189008910620122145;55952049054638336878493867;0.218750
55;0.0000036202841837581704881367895556630088230650972282944;5901024779044602009116;1629989381916096989386858217;0.296875
56;0.00000827258473951902831431040790814079538232104075905120;25575667629478774013141;3091617485318833311408621811;0.281250
57;0.000009891733076602898999420878730764219160336221432605496;88198523445748307089271;8916387326945358234351799345;0.281250
58;0.0000008274076012938515668898707915863945382394851328164677;18731814594694487727550;22639161841639806917015429039;0.281250
59;0.00000964192631597026176253407553188801750590935427267220117;1859996741937139813730903;192907172382800911360138548484;0.343750
60;0.000000591817866992665840378311257621611574856498432538327068;54714345533053605823379;92451324274959171844076931134;0.281250
61;0.0000000119536315340317903529126170152290518368861667049894987;17286418475478480035111;1446122747406454170081877264315;0.328125
62;0.00000056486878095690013558017746707412183571476823027885971347;1124270096332504237007169;1990320821816291515992633640955;0.343750
63;0.000000137127534455141266330081381698013939365540506551896225052;1835125018201764570709391;13382615136291914727857466502854;0.375000
64;0.0000005206728006830643705207561818565926523212288874005995309951;22453196420730443027754519;43123428746948880978655310441929;0.375000
65;0.00000011233972330484392490574766309080151039589625763859302515779;23052562872995173851005261;205204020401937210271024114938762;0.390625
66;0.000000417857884238413041772131315150512215538928427584094435841033;114410389537306107928553042;273802155835422990635885028949579;0.343750
67;0.0000004067556098357904874023541664529124993765878977165013260574490;594427338275468736671580359;1461386945629200725049406847284310;0.437500
68;0.00000061190421970933313569598839513628819813343927217617306025607209;1884675686550781723388671116;3080017469802775250247202986744649;0.281250
69;0.000000543256088157579237279363810687651295615413850921335290485733030;3336425990206194971793976998;6141534467697335137179921135466255;0.484375
70;0.0000000321108187289230282558124988271795034015342329492490449853230171;722507576926845237728967942;22500440833545746740243872252057707;0.390625
71;0.00000009883293328340201210766805889573222002316877287959291308192024758;13142645219967475692766414013;132978398832716316298319634727323667;0.375000
72;0.000000010071693037304323102771307036319561510973081517179498001850892808;3702246279338251008497751447;367589268817624023628763026135785896;0.406250
73;0.0000000514736168086571028355614938323373014878989791958969331414576346383;12815085859344294226896167847;248964161717677975108538857094081480;0.453125
74;0.00000004278901407349456898997084569362006516197350065182724522586983550581;198630850887638812152269100024;4642099267500525421750980444159261689;0.484375
75;0.000000050734156417040610552583278527297631598954952522308728375418296898163;639372819188354334064826764625;12602413528523783892120577423224197343;0.546875
76;0.0000000754101228546773449183879711435291556790231987844435802949835043525777;1437238585177755040926489302771;19058960929522072869465353910378096924;0.406250
77;0.00000004404115402868147649873862809804968284794074818221466938136452201038733;2352417671886881737737496463417;53414078803541049170327388855986856685;0.546875
78;0.000000014561219180477411981032503226336158219397213209274503297801147439967620;4641692561123483321847802732286;318770873756691731049965456196104906987;0.468750
79;0.0000000962303519679275682463091876840379622730730736467401244634502016937915244;125606796636591183078888574408675;1305272131587489510993609016028578899321;0.609375
80;0.00000000134688703446718121231110891097745167839313963752071706717548175217531000;5454755502655677725428948906571;4049898293670589549127125612037667751121;0.406250
81;0.000000005007864914808997999606380369420443691891186350910822689778930563977435833;81270911396245393318580135260371;16228654881627352934432865001683926830664;0.718750
82;0.0000000036104742715722703609896402903224774531334352169884145730277702008645015732;86446636928710277106214143056699;23943291220592177208766978834795800903749;0.625000
83;0.00000000791140331583051025104064895622217478600213924154066813310589389843996977252;1407067060430587848819778789459718;177853031157580301322908401463270539928885;0.609375
84;0.000000003283385788135120865539535485035084358126022165017738351321942301486613879443;1276129914538299236913547490120270;388662800195376487677033423793994337586901;0.750000
85;0.0000000054427756690709867320153565468158533287696463210587003734620116534953437709154;1143240361516733724425660099891661;210047305093481917795433075522565462831470;0.687500
86;0.00000000007123773339158880244336766148165968719167637127947182488162048594449945321743;437968230226409792860542187093826;6147980983882927351677928964125622987629769;0.625000
87;0.000000001907384269877487832193744435132809034944398538123898510618187728236696513807616;3180285449270663878066188296455951;1667354344636036593364968709094305276457886;0.656250
88;0.0000000003104315895457446775268891980502960229267360521711532668158694662881687897905826;8517282644387429104622591443812719;27436906974740522155293829032518134704995356;0.609375
89;0.00000000971751644996155607507956853707523049858009774475923223197304378088127491936207200;1144423337206461999945369749863645685;117769117562027847872474639844640048748315281;0.625000
90;0.000000000535774433864459244242532340237207761756790857425658828527673356944596929561783726;200041024354618855363403059745991469;373367991659761494197416322896606646437062731;0.687500
91;0.0000000009100456364676391475005588698156060478640341004361056867678945102867077462296564069;1077088989596453657728524662558732339;1183554919044715955724181644803648220157359545;0.640625
92;0.00000000062912647082410036179802989747753912961149869748258256193713206899391134824914394952;3444666197125341115420432770880698577;5475315945000901431133024706323915496608897117;0.687500
93;0.000000000167251807574291844812846731585426646140466758115119076344572656296532163490565065332;709077769107601090471725282200436689;4239582097147946907773099639913175752937237365;0.687500
94;0.0000000006606200520561049402664072668510021384350870535630299379393025118337467194612825778420;42578229694173267208145174534240145305;64451918408551722519888066051072759058572509173;0.703125
95;0.00000000065056072444050662631755548998127792182979900642535197849198796956474486514988734577513;117553174641404989741433529360181013029;180695160690038174075132517832375161234142333004;0.765625
96;0.000000000379653402498042615610504870817280119103232281875626474370543738056826812662430205105801;31899429947167279157095864404161740231;84022505098796641225788892664177762611414038030;0.750000
97;0.0000000003828457238916221385668935769577002593037615259535536685210268962588661671252492700490810;552422756920225600930008522690014438396;1442938297194115109823806898908942142595952394357;0.781250
98;0.00000000001735695066236752566678645580044228650999387151998523107388596931191246808950468673317313;3270490977860882842184947896910007693;188425434944157454249469737846594419468758047785;0.796875
99;0.000000000427733655360956332996355147179965223709769569935818961845346415217548385231320008528871086;7021854970432491493424818738303897666169;16416419148750128246422008445477323812096393338439;0.859375
100;0.0000000000322270847434446055372190888091678659805467640188494640929124399776679394546986826758682435;1631958417885517586751527986583623788116;50639343610423169270815162579041135800336369835821;0.796875
101;0.00000000006626492429662256529574434921337330545128560189273842676302939922294948463428337837591491762;8836956481178859746100598402072004869829;133357980484847058332481467508902574564337849890447;0.859375
102;0.000000000052286155962689064066354188447324325124950685419192322291750998980180684550860546293256357285;36194572703834167964209033482842303501408;692240078418889565735109206476283878242219087693111;0.906250
103;0.0000000000489286888599429987831306634083766052073687948085724292015014005747752835978960901916014347969;97134139698693116289446316071664595813169;1985218528473895348957055250222844410023905259248419;0.750000
104;0.00000000000755494209733770531264246035271149659878402905826296983957012076563285588019456771836338359611;41054868967312572952418549968476286237359;5434173874314661549581380880266024504928506525726345;1.000000
105;0.000000000094391926070938730868306853986056389605991754884117025688053437560610987953711731691427086497013;1754254830564185626683982381773963641187092;18584797488355134097121530721418446837954380529356697;0.859375
106;0.0000000000119995935614395455037224305803065408848177809000204542168466628852769216076005584439636841155429;214401018707928080910028078108163674020982;17867356724222850084121377375459980541111748879539785;0.843750
107;0.00000000002405760447559184465104995875486026273159598974084720886023913793312562061770561226105533125721712;4249725372206791904572733606766440439577051;176647902600545343295216293408265776642416301310287542;0.984375
108;0.000000000028094931414304873282398508351583716090531420159042605242385053297374988809730761242863983510962548;17536979401809465030411042214895322674288016;624204385595342667117252636241004994006672691598492069;0.921875
109;0.0000000000531708046968522217859929695062523161022103550080164490925140215163082564245211505172373098449505124;102733273791598774572789624822286521674734179;1932136900641654441899174250635569216079059020702553460;0.921875
110;0.00000000000060199370560857910269095991147513984344017417509581270967884851351472464814866609799341407622862389;2306208163965534100133082205033114431365239;3830950627023745381333515775003921766568228352172620560;1.062500
111;0.000000000003737641303202343752076086894393300707237315918183888472126708341922113511081244505530890728059891153;2839257025107143331195627150347958053840245;759638711899539168809219678459545306958402757216717132;0.937500
112;0.0000000000079074472146271125858468585972197235279652835735979103828615691892988428617314975981552267379472493742;72495712348659765076581058599250054881374809;9168029881319720960275180441035097991966311959485110697;1.234375
113;0.00000000000196799462773129712663742256415323292979594290253190475908828544147591490607311860316841526043069563528;368694379748427696619483862968199775387606181;187345216573816732300349949815141174725217961006274318967;1.062500
114;0.000000000005065642255613603014370925228428582722039101544599269035688956914207878183351725158240815335857992441692;2759358827683334065974531369032030290682301629;544720429995918053265608961548211102743197293478734897528;1.109375
115;0.0000000000068520128297688785459100618717107793603449659803864314312074849397157328597937501984621390728092094206646;13294708084073357206383219258782105639492548942;1940263162718245180207551116684580024543441020308483883963;1.328125
116;0.00000000000136458974416754023322398939755295897041038273235607296642759607615025784192529302260925165474921971643175;2161754761140486502512570843005350277099613436;1584179252687592191846845959109713543215637485749587212951;1.031250
117;0.000000000005529083992442553628412669143468438474646638061169058111583490819387470763926989517007126943022233310230992;71444730689333967354733250907739248480940164345;12921621517594673730387148680339848938314635901570954341218;1.062500
118;0.0000000000065663488883513737406194624301358374712390828607816514057905394843880743320864697779255676450625366863491544;426150411351749822968747498368292398027441806411;64899142369321203292030142498946676321962617305952586271520;1.046875
119;0.00000000000439674763421959611836069094693613630752795331695838711435701786516991129530463289500818570474342540249463889;152990980731264771803829984084232244346760802435;34796398033070191415683647734992195094907678949681504526344;1.156250
120;0.000000000000193206088031249552982900674263436114129260989520740925358246831787250853061951740390830814342646548209821406;73407204086772488452189743395554510416299981537;379942499922152842152762250679877244163380112201417591027314;1.390625
121;0.0000000000002420666271197251308984166710283312631545344734321407897031361083313214962492219009525171316530342436259376391;373866664026118336134007198620080392762168226302;1544478346621508729970351966284092993955064115937159491617757;1.078125
122;0.00000000000005819054884838750250152462455494929691306233905709901793415534975481363715110250107343118790592120347001831188;239179859050411043591305106529384205556959688543;4110287044612380746925337075536853823222021213815335757477311;1.187500
