Length;Input;Sum;Substract;Multipl;Divide1;Divide2;OutputToStr
1;0.000007;0.000009;0.000005;0.000003;0.000094;0.000085;0.000166
21;0.000005;0.000003;0.000004;0.000003;0.000098;0.000096;0.003402
41;0.000006;0.000002;0.000003;0.000002;0.000064;0.000063;0.004771
61;0.000008;0.000003;0.000005;0.000004;0.000085;0.000075;0.008064
81;0.000017;0.000004;0.000006;0.000005;0.000070;0.000070;0.010730
101;0.000027;0.000005;0.000005;0.000006;0.000087;0.000090;0.013324
121;0.000015;0.000003;0.000004;0.000004;0.000085;0.000092;0.018974
141;0.000024;0.000006;0.000007;0.000007;0.000093;0.000081;0.020757
161;0.000036;0.000009;0.000004;0.000007;0.000092;0.000078;0.021571
181;0.000036;0.000005;0.000005;0.000007;0.000081;0.000077;0.023256
201;0.000031;0.000003;0.000004;0.000007;0.000076;0.000071;0.026177
221;0.000035;0.000003;0.000004;0.000008;0.000074;0.000075;0.027796
241;0.000045;0.000006;0.000007;0.000014;0.000085;0.000075;0.030142
261;0.000063;0.000005;0.000006;0.000011;0.000133;0.000068;0.039838
281;0.000079;0.000006;0.000006;0.000018;0.000137;0.000115;0.046788
301;0.000055;0.000008;0.000004;0.000014;0.000079;0.000073;0.047798
321;0.000068;0.000004;0.000005;0.000016;0.000089;0.000084;0.042015
341;0.000083;0.000004;0.000007;0.000017;0.000074;0.000067;0.045820
361;0.000107;0.000004;0.000006;0.000028;0.000115;0.000103;0.066094
381;0.000087;0.000005;0.000005;0.000021;0.000079;0.000099;0.060695
401;0.000118;0.000007;0.000007;0.000024;0.000106;0.000091;0.061268
421;0.000161;0.000007;0.000010;0.000039;0.000129;0.000143;0.077353
441;0.000110;0.000003;0.000005;0.000024;0.000073;0.000073;0.063271
461;0.000166;0.000005;0.000007;0.000036;0.000076;0.000071;0.088430
481;0.000224;0.000005;0.000006;0.000050;0.000140;0.000126;0.075722
501;0.000155;0.000005;0.000008;0.000034;0.000090;0.000100;0.093803
521;0.000148;0.000006;0.000005;0.000038;0.000099;0.000078;0.085413
541;0.000162;0.000003;0.000005;0.000037;0.000267;0.000276;0.111868
561;0.000156;0.000003;0.000005;0.000039;0.000105;0.000094;0.090145
581;0.000213;0.000009;0.000014;0.000053;0.000255;0.000217;0.100832
601;0.000209;0.000011;0.000009;0.000051;0.000241;0.000214;0.110920
621;0.000189;0.000004;0.000004;0.000047;0.000231;0.000232;0.103450
641;0.000300;0.000011;0.000008;0.000080;0.000278;0.000281;0.122732
661;0.000210;0.000004;0.000005;0.000053;0.000206;0.000200;0.119249
681;0.000297;0.000007;0.000007;0.000084;0.000293;0.000260;0.122254
701;0.000353;0.000008;0.000010;0.000100;0.000319;0.000298;0.128411
721;0.000470;0.000006;0.000007;0.000089;0.000361;0.000342;0.155840
741;0.000425;0.000012;0.000011;0.000094;0.000367;0.000314;0.161155
761;0.000449;0.000006;0.000007;0.000099;0.000364;0.000360;0.131675
781;0.000325;0.000005;0.000005;0.000074;0.000211;0.000206;0.143935
801;0.000327;0.000006;0.000008;0.000085;0.000338;0.000391;0.166947
821;0.000483;0.000005;0.000006;0.000118;0.000320;0.000365;0.163607
841;0.000360;0.000007;0.000007;0.000094;0.000313;0.000282;0.148906
861;0.000344;0.000012;0.000007;0.000094;0.000352;0.000341;0.172728
881;0.000398;0.000004;0.000005;0.000091;0.000293;0.000300;0.168152
901;0.000439;0.000011;0.000009;0.000105;0.000372;0.000332;0.162228
921;0.000411;0.000010;0.000009;0.000102;0.000351;0.000361;0.166280
941;0.000427;0.000008;0.000006;0.000104;0.000336;0.000310;0.181651
961;0.000424;0.000004;0.000005;0.000106;0.000284;0.000332;0.198521
981;0.000470;0.000013;0.000007;0.000134;0.000323;0.000280;0.178517
1001;0.000471;0.000004;0.000006;0.000121;0.000388;0.000370;0.208535
1021;0.000501;0.000006;0.000007;0.000189;0.000390;0.000378;0.221281
1041;0.000944;0.000011;0.000008;0.000193;0.000405;0.000435;0.241693
1061;0.000767;0.000007;0.000012;0.000296;0.000583;0.000501;0.255721
1081;0.000823;0.000011;0.000013;0.000225;0.000809;0.000781;0.254507
1101;0.000866;0.000009;0.000009;0.000213;0.000675;0.000712;0.270304
1121;0.000961;0.000010;0.000011;0.000243;0.000712;0.000666;0.261305
1141;0.000667;0.000009;0.000009;0.000187;0.000545;0.000497;0.270108
1161;0.001061;0.000009;0.000010;0.000257;0.000890;0.000774;0.282229
1181;0.000896;0.000010;0.000012;0.000243;0.000650;0.000614;0.297435
1201;0.000934;0.000011;0.000010;0.000324;0.000828;0.000820;0.306891
1221;0.001082;0.000011;0.000013;0.000313;0.000714;0.000802;0.313192
1241;0.001038;0.000007;0.000008;0.000284;0.000760;0.000648;0.269501
1261;0.000711;0.000004;0.000007;0.000177;0.000552;0.000559;0.240869
1281;0.000753;0.000009;0.000009;0.000191;0.000624;0.000560;0.288918
1301;0.001275;0.000010;0.000010;0.000323;0.000941;0.000975;0.324399
1321;0.001153;0.000008;0.000011;0.000286;0.000773;0.000877;0.325449
1341;0.000812;0.000009;0.000009;0.000232;0.000568;0.000538;0.318637
1361;0.001229;0.000007;0.000010;0.000338;0.000910;0.000834;0.347805
1381;0.001258;0.000007;0.000008;0.000324;0.001002;0.000826;0.324702
1401;0.001261;0.000008;0.000009;0.000367;0.000882;0.000913;0.379911
1421;0.001387;0.000012;0.000010;0.000390;0.001353;0.001086;0.381462
1441;0.001321;0.000010;0.000011;0.000420;0.000859;0.000868;0.395935
1461;0.001388;0.000005;0.000006;0.000274;0.000831;0.000770;0.396191
1481;0.001445;0.000006;0.000007;0.000243;0.000876;0.000919;0.378542
1501;0.001088;0.000011;0.000010;0.000262;0.000690;0.000753;0.372282
1521;0.001063;0.000005;0.000006;0.000275;0.000680;0.000591;0.325555
1541;0.001198;0.000009;0.000009;0.000317;0.000765;0.000788;0.379188
1561;0.001389;0.000007;0.000009;0.000470;0.000867;0.000675;0.417770
1581;0.001738;0.000013;0.000012;0.000544;0.001309;0.001288;0.439000
1601;0.001148;0.000005;0.000007;0.000340;0.001059;0.001116;0.424267
1621;0.001203;0.000010;0.000009;0.000332;0.001432;0.001291;0.359088
1641;0.001206;0.000010;0.000011;0.000318;0.001006;0.000957;0.371646
1661;0.001891;0.000009;0.000012;0.000474;0.001106;0.001175;0.476094
1681;0.001914;0.000009;0.000010;0.000520;0.001274;0.001460;0.476852
1701;0.001279;0.000008;0.000012;0.000337;0.000926;0.000869;0.416774
1721;0.001884;0.000008;0.000009;0.000541;0.001461;0.001491;0.515173
1741;0.001438;0.000009;0.000020;0.000521;0.001284;0.001316;0.524295
1761;0.001588;0.000008;0.000007;0.000347;0.001399;0.001526;0.534110
1781;0.001860;0.000008;0.000009;0.000595;0.001265;0.001385;0.504660
1801;0.001451;0.000006;0.000008;0.000369;0.001198;0.001253;0.531593
1821;0.001609;0.000007;0.000009;0.000418;0.000954;0.000900;0.431524
