Length;Prime;GenPrimeTime;ProbTestOnPrimeTime;TestOnCompTime
10;1283;0.0000285550;0.0000017320;0.0000008220
30;1242815393;0.0000256280;0.0000037040;0.0000005230
50;1586154055655941;0.0000317740;0.0000050420;0.0000005440
70;2097391939827504711361;0.0003556800;0.0000967500;0.0000007790
90;2363177854441857527521615043;0.0003649530;0.0001065240;0.0000008160
110;1724314857101332510651554079053581;0.0003713290;0.0001292830;0.0000009110
130;1506481178690751584033922415163358157811;0.0003849360;0.0001988910;0.0000009370
150;2739876955068216728225997975272725718131612267;0.0008941700;0.0002326040;0.0000009860
170;1778073262837036818868455398059434752685943030111871;0.0005828910;0.0002527250;0.0000008460
190;2041494185592852924797509775754036893654875570159422724777;0.0007045580;0.0002689390;0.0000008710
210;2999191560955681492651758649586609754478865568424664641409182199;0.0014097110;0.0004405440;0.0000010080
230;2753342201109006945756100275765708214926206481138748702462604057742793;0.0008007220;0.0005056520;0.0000010080
250;2651807031072905755521503358159207244955549094738051627633126765991408573247;0.0016355710;0.0004817150;0.0000009410
270;2994502164473046820856945873151653903894054829792873245153497155954822785198597773;0.0007874630;0.0006486030;0.0000010380
290;3394552553484824244474553101737649807049374191576099426785624449697370979793328963032703;0.0023826590;0.0006760650;0.0000010560
310;2804674821365613248693043333616580883162882106357834006925809875560302507744875150639197957269;0.0033653800;0.0006349890;0.0000011190
330;3696156296138509864100046200139855249717826488387549840950166711844284351053463980135973463576758749;0.0011009770;0.0010214890;0.0000009630
350;3632130067389470725142024512217542944140595477135347823078469974603520829831141930800948798097291231226289;0.0031348900;0.0010048010;0.0000014020
370;3491825948694389365990544693909107730462450983586633152940594451906811143143153633678642009601822046567991516179;0.0009450020;0.0011379500;0.0000009700
390;4596293315072336669452963537128132392143196388929133052604806561837217657420766170710763594703506989532518725421367959;0.0080618940;0.0006769860;0.0000005370
410;3023822537898352923860072155598417379195245770122019550166154986191033239519087925044626840929412583101090597203945927328121;0.0006946570;0.0006364300;0.0000003770
430;5481946492153632207900781251834379587781448836370121275668284909331849025656088057984390006215278563288006897372805063838998633959;0.0014989450;0.0006658150;0.0000004210
450;4069810330708150014581029786907302361188993086232956960907107911528935920656012243396676871070517471977274044032294499046590761088124077;0.0010584980;0.0008315460;0.0000003430
470;5622215534117031748441639848456194998068358751299854584238582487099254104952793317953509872105660647031584081540571109392247618629282370177799;0.0012066000;0.0008569190;0.0000003450
490;5237060340094450179586939000774446969906835853910377295156972996142286226610993582149341768889389273982927041422894053897987383025215588120400079441;0.0006019140;0.0009289110;0.0000005150
510;5630703314679188479927195514591604473506469120111638563296442688891434834162682196116577282307809732269942843619259455245004998414782408092701882566865219;0.0024406340;0.0010448820;0.0000004070
530;4756288855540098886702169296779475620034097913017126408521416732082075092269981984727990024721256130193349776736188137489696818091778362220236774661114932702113;0.0023997270;0.0011259980;0.0000004400
550;4852244861254684806588161295404752490022964750672855789168632496041298797816158047872014438427799901542818587781110568207420397506383921369829458652236235292700118767;0.0090412590;0.0012188610;0.0000005660
570;6619170876182107729973399250494397740142130771691182740101329816759508503340591804900362890516845394177987696108621849109528428715392533681290582470252213888459591157947703;0.0087443950;0.0012047850;0.0000004090
590;6047815106581715554012748020449160640918788691928026371775663273571179380301866312083896336422179016242057684965296591596280524637314640016985725346884722998731371634447896250161;0.0071231990;0.0014587710;0.0000002930
610;8115985479634401196280913391918212487411189242654380086813607154268561767498378098192739343373126339926799529867799397790318839617670731382940348147290131074001748786902271106146332681;0.0036749800;0.0015312210;0.0000004740
630;4716988086656232276841276899492751837445166034451902206433722130693994729832421248059199251149768247560039568276078832061211662504425706422237042879590022308378296378252489318088470936256293;0.0028521170;0.0024660770;0.0000008220
650;5602781914667146098962783148820207088418240698740859783683126345338807014068493248419402649818018701949433473480501099457608754365458321701247112933118886267330977844956971526124768396336961121277;0.0070673620;0.0018407180;0.0000004560
670;9056623366616519536019410463906407655811767419980456869975793320887925167151736228119821319672106051803061092629748605469441374467524170223476251122865442488856227789335024553310470010062008288242527421;0.0018783980;0.0018921820;0.0000004180
690;10130147906947680713746609631949657034543324360894130472004163151746766016892637377210479380157551069096352680269796883998174054899129795810400378064189341872405280184616164674827538556873063095879800971042361;0.0009756250;0.0019376170;0.0000005120
710;6259128219103468131320241462186169834507749841415116610917954818638089163719169946087888033812730062031503167770734731287997869373246569016285310718409265171903420918616140260990963082831453427756836273227221934319;0.0024854000;0.0026801900;0.0000009440
730;9269131039877955209679179647974017370613518213710710472611913826967456116965734001778520553074481014016239117301367081838974515621421416899398053229498907018583573289248210891326076177550881034670529670633418512437371799;0.0083274800;0.0026704920;0.0000008030
750;9395371686634971198657751878408423440205417395504207404139674928084913902207898248479288079890496990250515836194305689369992296796463558291827290531582165955876866768065625482380033099315475530753192612123353633351803754587547;0.0013495940;0.0024282500;0.0000005300
770;8889258536240565301478171849971404448163974994164412864970945737426936907803885313994169187586717947407594636292103686877496191190666108997663348889167572171526476344516937064395629223445437752760183261088109225006425949767387959179;0.0110984420;0.0029069310;0.0000005390
790;10425286622097869410503224466600507732115352367185971716889535163945869031399768251469810284850346874954344631632515691994953256815262206854404840894935609202301770467777737925518899532497623104397364845887136145482553453228945317779852121;0.0116666150;0.0030412840;0.0000005770
810;9034362044164153123524483405276606047142682504882055090692055297552377980053207285211279466546173474164384006173362508144219703340489247395938900756502925952752294079429738254987973186780186752568515557010551845187970678939377169310947736537921;0.0093412690;0.0031278470;0.0000005980
830;7893961790856355862882440704826543522028711620626303028695373976749349460815470075019118096536887843298277133020110888977502919886579416423790127306319285027201309007646846024943811570520358265521212900351209910728254377865798056985787761807971241817;0.0065895150;0.0032763640;0.0000003520
850;9261973864129474751364675904299928996094486264858644633873488746981986685153891697098724801608035335472808180719621036280229741760983549280702761881873358865840902794851249185380902188433217538884624408260052088197167309177454295819842581916814290028594289;0.0075768580;0.0034086400;0.0000005080
870;14087337305208728624944966221634512007033688571282847500795404168523474550430339300968357601508667626293874791398582336748736089116754456072351230794776085210060509802204816596219218956623178042720642348589865713253601837551430780671862198407838441930167556378733;0.0081489500;0.0035699690;0.0000005580
890;11570542045928852012257229742535786976081429153389654274432406352917262878567622385420303928010406632657038315095123576837060375767443217510992380102998164575043863214112947214249498119331664198836228086032103318920094990098843784390961163532299890656308479084073718247;0.0096851710;0.0035891440;0.0000005020
910;11030918298654843656143704070140778465371632304096641385189125445756441592555297044324179877227463803442300998099450440063174999358885506634170429942361499937942743436568132158862974356832693223679199548703035000199785753949439512369294356404406361206774960238699952004946157;0.0015451110;0.0043163850;0.0000005910
930;14806038648074646154083408011407100381168770740049528525713920758194826925321301369029696215298017785026306830534081171156573847343650665522828820912114753374857375728255837644827430989677430774556767636535730052713794394663074176697346416873910038297113237050373315340481687142883;0.0072904450;0.0043698290;0.0000004930
950;16578762499882984760891228381449557283634617831924729765884457914014349186157772805174728720430808822028464612606762828593714040182406275852199995334923400908085929081729266087636251987115423357306162156920332869771030349158392958302211188071623202591150908031329822733197674076282593991;0.0687213850;0.0047915170;0.0000009390
970;19017075425441013481749961969451491287839586733471449095526042697169617529055358732586616138184162553743390940656562741776502107672167554190859001143216392133493131122058890602303287413188165457524709992059985235681174041380380826950172241184291903902429426458263713413385961313567710380130611;0.0295088100;0.0049036760;0.0000005820
990;10562476976664580329106561002564757662552202355296744721721365045649060150449657826756005251255548850397179217371074549613295091850902756156763646265820952902310798548938471880848900903870272813184938856010298313804831712817813757091168932932975069269887313552217085213135268144140885590938445357737;0.0175522810;0.0049862730;0.0000005630
1010;13729690678993962859829549731291496133097810296750638926457442586808644764285664741508973629779983251448133341390314250087754886023974074373594266699833054493869791406639768850159720695160043913592137342366723392624619830464442965191915434908446558736309861040836157101751775656019093172644071917543293159;0.0321793210;0.0051304030;0.0000004990
1030;18925635865768488893629928098870385827640978931917768014239620391844440895469443036574022703813665083499913947493777243760798849086501522268079520111343957620320579230322326654635327829088095874505820487293115474353221079621480148023576261136790427354835470480288635193597257831915330238397642490844756750317741;0.0030913080;0.0058546830;0.0000007090
1050;12712382684616622800207564501736105423211770078578267594304323338852102526624155717749516116349426057228195266695476122461444128447128745090011317430498976596155397077212222053295305604359674078360941984943927182573130751365771039710008821586113417437410752054578080190426131358573388723969139600287765074990476750769;0.0093406500;0.0058008890;0.0000003990
