Length;Prime;GenPrimeTime;ProbTestOnPrimeTime;TestOnCompTime
1;2;0.0000008290;0.0000011560;0.0000012680
2;7;0.0000136510;0.0000001830;0.0000003270
3;13;0.0000052950;0.0000011420;0.0000002710
4;23;0.0000053580;0.0000009290;0.0000002520
5;61;0.0000051940;0.0000011490;0.0000002510
6;71;0.0000063430;0.0000011420;0.0000002490
7;193;0.0000061110;0.0000011300;0.0000002510
8;257;0.0000074300;0.0000014230;0.0000002610
9;733;0.0000067950;0.0000014890;0.0000002540
10;1327;0.0000072220;0.0000013290;0.0000002540
11;3917;0.0000077550;0.0000013900;0.0000002510
12;6521;0.0000078750;0.0000014870;0.0000002530
13;9613;0.0000098470;0.0000014910;0.0000002500
14;21313;0.0000101050;0.0000016480;0.0000002510
15;33809;0.0000092310;0.0000018880;0.0000002520
16;94253;0.0000097550;0.0000019250;0.0000002610
17;150197;0.0000109050;0.0000024510;0.0000003890
18;296507;0.0000132580;0.0000022000;0.0000004510
19;925279;0.0000138360;0.0000021590;0.0000002610
20;1755893;0.0000107370;0.0000022620;0.0000002670
21;4083137;0.0000105140;0.0000021580;0.0000002510
22;7610371;0.0000103370;0.0000023590;0.0000002520
23;14572091;0.0000109510;0.0000024260;0.0000002520
24;18143659;0.0000126800;0.0000025530;0.0000002500
25;43440959;0.0000121840;0.0000026400;0.0000002520
26;98760427;0.0000131220;0.0000027200;0.0000002500
27;232092901;0.0000160290;0.0000025310;0.0000002530
28;343567787;0.0000133130;0.0000028140;0.0000002520
29;561174109;0.0000170430;0.0000030630;0.0000002490
30;1331544463;0.0000133680;0.0000029200;0.0000002500
31;4233442091;0.0000230600;0.0000029490;0.0000002440
32;8223272557;0.0000385220;0.0000030490;0.0000002400
33;9526266917;0.0000347140;0.0000032660;0.0000002400
34;20319868403;0.0000178010;0.0000033830;0.0000002420
35;57340252637;0.0000174260;0.0000032270;0.0000002410
36;80291190677;0.0000175400;0.0000033760;0.0000002440
37;220860947147;0.0000162350;0.0000032740;0.0000002430
38;326700065563;0.0000173670;0.0000035960;0.0000002430
39;823564581839;0.0000150140;0.0000035400;0.0000002430
40;1143413434903;0.0000169610;0.0000035470;0.0000002560
41;3931684383307;0.0000154230;0.0000035770;0.0000002560
42;8384945739431;0.0000161920;0.0000036340;0.0000003640
43;14967412026157;0.0000184660;0.0000039800;0.0000002650
44;24467507284261;0.0000210410;0.0000041150;0.0000002530
45;53236242677183;0.0000251850;0.0000040700;0.0000002500
46;100991386840681;0.0000177720;0.0000042120;0.0000002520
47;226738659425527;0.0000214370;0.0000043710;0.0000002510
48;321170280439961;0.0000288180;0.0000044760;0.0000002560
49;1117457644934849;0.0000175120;0.0000043870;0.0000002510
50;2095163522079269;0.0000194490;0.0000044120;0.0000002500
51;2562561807966959;0.0000185630;0.0000051010;0.0000002530
52;5510264015389241;0.0000232020;0.0000047090;0.0000002520
